	FFN_x	FFN_y	FFN_z	FFP_x	FFP_y	FFP_z	SOP_x	SOP_y	SOP_z	V1_x	V1_y	V1_z	V3_x	V3_y	V3_z	BMF_x	BMF_y	BMF_z	OMF_x	OMF_y	OMF_z	tPM_x	tPM_y	tPM_z	IOF_x	IOF_y	IOF_z	P3_x	P3_y	P3_z	abM1_x	abM1_y	abM1_z	adJS_x	adJS_y	adJS_z	vZA_x	vZA_y	vZA_z	PSO_x	PSO_y	PSO_z	PSA_x	PSA_y	PSA_z	JFO_x	JFO_y	JFO_z	LFO_x	LFO_y	LFO_z	JLO_x	JLO_y	JLO_z	aLJ_x	aLJ_y	aLJ_z	pMN_x	pMN_y	pMN_z	SNa_x	SNa_y	SNa_z	aN_x	aN_y	aN_z	BOC_x	BOC_y	BOC_z	F8_x	F8_y	F8_z	pbM3_x	pbM3_y	pbM3_z	tPM_L_x	tPM_L_y	tPM_L_z	IOF_L_x	IOF_L_y	IOF_L_z	P3_L_x	P3_L_y	P3_L_z	abM1_L_x	abM1_L_y	abM1_L_z	adJS_L_x	adJS_L_y	adJS_L_z	vZA_L_x	vZA_L_y	vZA_L_z	PSO_L_x	PSO_L_y	PSO_L_z	PSA_L_x	PSA_L_y	PSA_L_z	JFO_L_x	JFO_L_y	JFO_L_z	LFO_L_x	LFO_L_y	LFO_L_z	JLO_L_x	JLO_L_y	JLO_L_z	aLJ_L_x	aLJ_L_y	aLJ_L_z	pMN_L_x	pMN_L_y	pMN_L_z	SNa_L_x	SNa_L_y	SNa_L_z	aN_L_x	aN_L_y	aN_L_z	BOC_L_x	BOC_L_y	BOC_L_z	F8_L_x	F8_L_y	F8_L_z	pbM3_L_x	pbM3_L_y	pbM3_L_z
BMNH-1551c	-38.7	19.6	0	4.9	32.6	0	52.2	9.7	0	-78.7	-11.4	0	-20.2	-19.4	0	33.4	-20	0	47.1	-11.2	0	-110.4	-12.6	-1.7	-60.5	-10.3	-16.5	-51.9	-21.3	-19.2	-37.6	-22.3	-25	-4.4	-1	-33.2	7.3	-2	-36.1	43.4	12.8	-9.2	-0.6	2.4	-13.8	-9.7	7	-30.6	-32.5	16.9	-17.8	-35.2	2.8	-24	-42	-0.6	-21.4	-47.2	15.3	-8.2	-84.3	7.1	-5.8	-86.1	7.2	-0.7	33.7	-16.9	-8.7	15.4	-7.9	-11.7	-9.4	-16.2	-23.4	-110.4	-12.6	1.7	-60.5	-10.3	16.5	-51.9	-21.3	19.2	-37.6	-22.3	25	-4.4	-1	33.2	7.3	-2	36.1	43.4	12.8	9.2	-0.6	2.4	13.8	-9.7	7	30.6	-32.5	16.9	17.8	-35.2	2.8	24	-42	-0.6	21.4	-47.2	15.3	8.2	-84.3	7.1	5.8	-86.1	7.2	0.7	33.7	-16.9	8.7	15.4	-7.9	11.7	-9.4	-16.2	23.4
BMNH-1946.12.17.2	-38.9	17.8	0	-0.4	31.5	0	50.7	7.6	0	-72.7	-13	0	-18.8	-18.6	0	34	-16.2	0	46.1	-9.1	0	-110.9	-12.2	1.3	-61.9	-12.3	16.3	-52	-22.6	20	-37.4	-24.9	23.9	-6.2	-0.5	32	8.1	-0.5	33.9	41	16.7	9.7	0.1	2.1	15.4	-13.1	7	29.9	-34	13.4	18	-36.4	4.7	23.3	-44.5	-0.7	19.2	-49.2	13.3	7.6	-82	5.6	5.1	-86.8	6	0.7	33.7	-13.8	7	14.8	-7.3	11	-12.9	-15.3	21.6	-110.9	-12.2	-1.3	-61.9	-12.3	-16.3	-52	-22.6	-20	-37.4	-24.9	-23.9	-6.2	-0.5	-32	8.1	-0.5	-33.9	41	16.7	-9.7	0.1	2.1	-15.4	-13.1	7	-29.9	-34	13.4	-18	-36.4	4.7	-23.3	-44.5	-0.7	-19.2	-49.2	13.3	-7.6	-82	5.6	-5.1	-86.8	6	-0.7	33.7	-13.8	-7	14.8	-7.3	-11	-12.9	-15.3	-21.6
BMNH-2003.294	-39.1	17.3	0	2	29	0	49.6	10.8	0	-74.3	-10.9	0	-17.4	-18.4	0	33.5	-17.9	0	45.6	-9.8	0	-113	-13.3	2.1	-59.1	-11.9	16.5	-52.2	-22.4	19.6	-37.6	-24.5	25.3	-7.3	-0.2	31.8	8.6	0.8	34.1	39.9	16	10.7	1	0.7	15.6	-12.2	7	28.9	-32.1	13.2	16.3	-34.8	2.4	23.1	-41.2	-1.9	20.4	-46.5	13.6	8.2	-85.1	7	5.5	-92.6	5.9	0.7	33.9	-14.2	7.9	15.2	-8.8	10.4	-12.3	-17.9	22.4	-113	-13.3	-2.1	-59.1	-11.9	-16.5	-52.2	-22.4	-19.6	-37.6	-24.5	-25.3	-7.3	-0.2	-31.8	8.6	0.8	-34.1	39.9	16	-10.7	1	0.7	-15.6	-12.2	7	-28.9	-32.1	13.2	-16.3	-34.8	2.4	-23.1	-41.2	-1.9	-20.4	-46.5	13.6	-8.2	-85.1	7	-5.5	-92.6	5.9	-0.7	33.9	-14.2	-7.9	15.2	-8.8	-10.4	-12.3	-17.9	-22.4
BMNH-6.12.5.14	-38.5	18.9	0	4	30.4	0	49.6	8.7	0	-74	-11.7	0	-16.9	-18.5	0	30.9	-17.4	0	45	-10.4	0	-112.3	-10.7	-1.5	-61.3	-11.4	-15.5	-53	-21.8	-18.8	-36.8	-24.2	-23.9	-7.1	0.3	-32.1	5.6	-0.7	-35.5	40.4	15.4	-8.1	0.2	0.3	-16.7	-11.7	7	-29.5	-32.1	14.4	-16.9	-35.2	2.2	-23.3	-43.5	-2	-20.2	-45.9	14.5	-8.4	-84.1	7.9	-5.9	-89.2	7.5	-1.3	30.6	-14	-6.9	13	-7.3	-11.5	-11	-18.1	-21.8	-112.3	-10.7	1.5	-61.3	-11.4	15.5	-53	-21.8	18.8	-36.8	-24.2	23.9	-7.1	0.3	32.1	5.6	-0.7	35.5	40.4	15.4	8.1	0.2	0.3	16.7	-11.7	7	29.5	-32.1	14.4	16.9	-35.2	2.2	23.3	-43.5	-2	20.2	-45.9	14.5	8.4	-84.1	7.9	5.9	-89.2	7.5	1.3	30.6	-14	6.9	13	-7.3	11.5	-11	-18.1	21.8
BMNH-7.7.3.32	-38.5	20.1	0	-1.7	31.6	0	51.8	9.9	0	-77.3	-13.6	0	-16	-20.8	0	35.2	-17.5	0	46.6	-9.7	0	-114.7	-14.5	-1	-61.3	-11.2	-14.7	-52.4	-21.9	-18.4	-38.8	-24.2	-23.3	-4.9	0.1	-32.6	8.1	-0.8	-34.1	41.5	15.7	-9.3	-0.8	2.8	-15.4	-12.9	7.5	-29.7	-33	15.4	-17.7	-35.6	4.1	-22.5	-42.9	-1.1	-20	-49.2	15	-9	-87.5	7.5	-5.7	-95.1	5.7	-0.5	35.5	-14.7	-7.7	15.9	-7.7	-11.2	-14	-19.9	-21.7	-114.7	-14.5	1	-61.3	-11.2	14.7	-52.4	-21.9	18.4	-38.8	-24.2	23.3	-4.9	0.1	32.6	8.1	-0.8	34.1	41.5	15.7	9.3	-0.8	2.8	15.4	-12.9	7.5	29.7	-33	15.4	17.7	-35.6	4.1	22.5	-42.9	-1.1	20	-49.2	15	9	-87.5	7.5	5.7	-95.1	5.7	0.5	35.5	-14.7	7.7	15.9	-7.7	11.2	-14	-19.9	21.7
BMNH-8.11.14.10	-39.7	19	0	2.1	30.1	0	51.6	10.1	0	-77.2	-12.1	0	-18.5	-18.7	0	34.9	-18.4	0	46.8	-10	0	-113.5	-15	1.2	-62.4	-11	16	-52.9	-22.7	19.4	-38.9	-23.2	24.3	-7.4	1.7	31.7	2.5	0.1	34.1	42.8	14.9	9.9	2.9	0.5	16.7	-12	8.7	28.4	-32.8	14.4	17.2	-36.7	3.9	21.8	-43.3	-0.8	19.3	-48.4	14.8	8.2	-87.1	7.1	5.2	-93.6	6	0.4	34.8	-15.3	7.1	16.1	-7.6	11.6	-13.6	-18.3	22.3	-113.5	-15	-1.2	-62.4	-11	-16	-52.9	-22.7	-19.4	-38.9	-23.2	-24.3	-7.4	1.7	-31.7	2.5	0.1	-34.1	42.8	14.9	-9.9	2.9	0.5	-16.7	-12	8.7	-28.4	-32.8	14.4	-17.2	-36.7	3.9	-21.8	-43.3	-0.8	-19.3	-48.4	14.8	-8.2	-87.1	7.1	-5.2	-93.6	6	-0.4	34.8	-15.3	-7.1	16.1	-7.6	-11.6	-13.6	-18.3	-22.3
BMNH-8.11.14.11	-39.8	19.5	0	5.3	30	0	53.5	10	0	-80.6	-11	0	-22.3	-18.3	0	35.1	-19.6	0	48.8	-10.7	0	-116.8	-9.8	-1.5	-64.4	-10.6	-14.5	-57.1	-22.3	-17.2	-44.3	-25.5	-23	-6.5	2.1	-29	6.1	0.5	-32.3	47.7	12.3	-10.6	2.4	-0.6	-15.2	-11.9	7.3	-27.7	-33.5	14.3	-16	-35.8	3.2	-21.7	-45.6	-0.5	-18.8	-49.4	16.5	-6.5	-85.6	9.6	-6.1	-91.2	9.2	-0.4	35.6	-16.2	-7.9	16.9	-8.1	-11.2	-16.4	-20.7	-21.2	-116.8	-9.8	1.5	-64.4	-10.6	14.5	-57.1	-22.3	17.2	-44.3	-25.5	23	-6.5	2.1	29	6.1	0.5	32.3	47.7	12.3	10.6	2.4	-0.6	15.2	-11.9	7.3	27.7	-33.5	14.3	16	-35.8	3.2	21.7	-45.6	-0.5	18.8	-49.4	16.5	6.5	-85.6	9.6	6.1	-91.2	9.2	0.4	35.6	-16.2	7.9	16.9	-8.1	11.2	-16.4	-20.7	21.2
BMNH-8.11.14.8	-37.8	20.9	0	2.3	31.2	0	50.8	9	0	-75.2	-12.9	0	-19.6	-19.4	0	33.8	-19	0	45.7	-9.8	0	-110.4	-15.2	-3.2	-58.7	-11.9	-17.6	-51.5	-24	-19.3	-38.1	-25.2	-24	-5.6	2	-32.4	5.3	-0.7	-35.3	43	14.9	-7.6	2.1	2.2	-17.2	-11.7	8.6	-29.5	-32.7	15.5	-16.8	-35.1	4.8	-23.4	-45.1	0	-20.4	-47.3	16.4	-8.4	-83.7	6.5	-6.2	-85.6	7.8	-1.9	34.1	-14.8	-8.6	15.8	-7.2	-11.9	-11.6	-20.9	-22	-110.4	-15.2	3.2	-58.7	-11.9	17.6	-51.5	-24	19.3	-38.1	-25.2	24	-5.6	2	32.4	5.3	-0.7	35.3	43	14.9	7.6	2.1	2.2	17.2	-11.7	8.6	29.5	-32.7	15.5	16.8	-35.1	4.8	23.4	-45.1	0	20.4	-47.3	16.4	8.4	-83.7	6.5	6.2	-85.6	7.8	1.9	34.1	-14.8	8.6	15.8	-7.2	11.9	-11.6	-20.9	22
BMNH-8.11.14.9	-39.8	20.1	0	3.7	32.5	0	52.5	8.1	0	-77.4	-12.6	0	-16.8	-20	0	32.7	-17.1	0	45.1	-11	0	-115.8	-14.1	1.5	-62	-11.1	15.2	-55.7	-22.7	19.1	-42.9	-25.2	24.3	-5.3	0.9	32.7	5.5	-1.4	35.7	45.8	11.2	10.2	2	2	17.9	-12.6	8	30.7	-34.4	15.4	17.7	-36.8	4.9	23.3	-43.8	-0.5	20.4	-50.4	15.3	7.8	-87.9	7.1	6	-92.6	7.2	0.6	32.3	-13.5	7	14.7	-7	11.1	-15.3	-20	22	-115.8	-14.1	-1.5	-62	-11.1	-15.2	-55.7	-22.7	-19.1	-42.9	-25.2	-24.3	-5.3	0.9	-32.7	5.5	-1.4	-35.7	45.8	11.2	-10.2	2	2	-17.9	-12.6	8	-30.7	-34.4	15.4	-17.7	-36.8	4.9	-23.3	-43.8	-0.5	-20.4	-50.4	15.3	-7.8	-87.9	7.1	-6	-92.6	7.2	-0.6	32.3	-13.5	-7	14.7	-7	-11.1	-15.3	-20	-22
MCZ-MCZ-11538	-38.2	21.1	0	5.9	28.4	0	52.7	10.2	0	-81.9	-11	0	-20.1	-18.8	0	34.6	-19	0	47	-11	0	-119.3	-12.7	0.8	-62.9	-11.4	16.4	-54.6	-23.5	19.1	-40.8	-25.5	23.3	-6.7	-0.1	33	5.2	-1.9	34.7	47.7	12.4	7.6	2.8	1.8	16.7	-11.5	8.2	29.6	-33.3	16.8	18.8	-36.9	4.7	24.8	-44.1	-0.1	21.3	-47.1	18	8.4	-88.4	10.6	6.3	-95.5	8.4	0.6	34.7	-15.6	7.8	15.2	-8.2	9.9	-13.9	-20.4	23.1	-119.3	-12.7	-0.8	-62.9	-11.4	-16.4	-54.6	-23.5	-19.1	-40.8	-25.5	-23.3	-6.7	-0.1	-33	5.2	-1.9	-34.7	47.7	12.4	-7.6	2.8	1.8	-16.7	-11.5	8.2	-29.6	-33.3	16.8	-18.8	-36.9	4.7	-24.8	-44.1	-0.1	-21.3	-47.1	18	-8.4	-88.4	10.6	-6.3	-95.5	8.4	-0.6	34.7	-15.6	-7.8	15.2	-8.2	-9.9	-13.9	-20.4	-23.1
