	mf	tx	species.FV	species.CT	species.MR
BMNH-1551c	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
BMNH-1946.12.17.2	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
BMNH-2003.294	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
BMNH-6.12.5.14	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
BMNH-7.7.3.32	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
BMNH-8.11.14.10	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
BMNH-8.11.14.11	F	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
BMNH-8.11.14.8	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
BMNH-8.11.14.9	F	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
MCZ-MCZ-11538	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
MCZ-MCZ-20009	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
MCZ-MCZ-24082	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
RMNH-1023	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
RMNH-1023b	F	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
RMNH-1029	F	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
RMNH-1036	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
RMNH-a	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
RMNH-b	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
USNM-238016	F	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
USNM-239598	F	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
USNM-239599	F	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
USNM-239602	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
USNM-239604	F	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
USNM-239605	F	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
USNM-240322	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
USNM-270328	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
USNM-A25938	M	Hyd_in9	Hyd_in9	Hyd_in9	Hyd_in9
FMNH-20336	F	Alc_am_am2	Alc_am4	Alc_am4	Alc_am4
FMNH-8557a	F	Alc_am_am2	Alc_am4	Alc_am4	Alc_am4
FMNH-8557b	F	Alc_am_am2	Alc_am4	Alc_am4	Alc_am4
MVZ-40301	F	Alc_am_am2	Alc_am4	Alc_am4	Alc_am4
MVZ-43798	M	Alc_am_am2	Alc_am4	Alc_am4	Alc_am4
MVZ-43908	M	Alc_am_am2	Alc_am4	Alc_am4	Alc_am4
MVZ-51609	M	Alc_am_am2	Alc_am4	Alc_am4	Alc_am4
MVZ-51610	F	Alc_am_am2	Alc_am4	Alc_am4	Alc_am4
MVZ-59801	M	Alc_am_am2	Alc_am4	Alc_am4	Alc_am4
MVZ-69924	F	Alc_am_am2	Alc_am4	Alc_am4	Alc_am4
MVZ-69926	M	Alc_am_am2	Alc_am4	Alc_am4	Alc_am4
MVZ-69929	M	Alc_am_am2	Alc_am4	Alc_am4	Alc_am4
MVZ-74568	M	Alc_am_am2	Alc_am4	Alc_am4	Alc_am4
