J1	J2	J3	J4	J5	J6	J7	J8	J9	J10	J11	J12	J13	J14	J15	J16	J17	J18	J19	J20	J21	J22	J23	J24	J25	J26	J27	J28	J29	J30	J31	J32
-0.0418308	0.380191534	-0.304620997	0.052776293	-0.060876328	-0.53282177	-0.169111505	-0.031059432	-0.44503407	-0.118902157	0.060755924	-0.042447213	-0.201788096	-0.119833932	0.117818488	-0.076786054	-0.371275796	0.385052523	-0.116569577	-0.15360352	0.333374151	0.000442869	0.12394956	0.010934049	-0.178346195	-0.081090896	-0.117032019	0.002219602	0.09289988	0.049978047	-0.173079705	-0.291201597
-0.024634052	0.163557347	-0.30490383	0.120106603	-0.122794601	-0.143467456	-0.079901438	0.009643835	-0.141067756	-0.033674497	-0.012085254	0.016308225	-0.088168498	-0.160077275	0.233748934	-0.040433897	-0.107716577	0.174976518	-0.040168741	-0.035651675	0.297498908	-0.057271998	0.042435015	0.059006723	-0.055053807	-0.049670952	-0.040918186	-0.07886499	0.077464342	-0.018363861	-0.136076006	-0.306810637
-0.037162973	0.168858862	-0.279753437	0.121589491	-0.126036606	-0.144644315	-0.052847673	0.016077307	-0.125625794	0.046742609	0.210347207	0.024441726	-0.05557782	-0.156146518	-0.046948846	0.020475702	-0.107952805	0.177918242	-0.02192562	0.048950177	0.269211757	-0.079167542	0.046253191	0.06170571	0.021180744	-0.007182953	-0.038602404	-0.434408862	0.053968059	-0.034845696	-0.12009177	-0.277055562
-0.107980109	0.161019021	-0.476356241	0.019069808	-0.011510422	-0.194972238	0.004581875	-0.083606863	-0.169222989	-0.031651255	0.30273366	-0.055381269	-0.084607491	-0.114461068	0.058547666	-0.025164183	-0.152000045	0.168100602	-0.0172044	-0.035715061	0.433293039	-0.238451607	0.028043416	-0.093229967	-0.027134603	-0.032644052	-0.069640737	-0.159177068	0.111195315	0.130835633	-0.033696925	-0.400398579
-0.04188337	0.28343636	-0.377946325	0.03160176	-0.084806302	-0.321984993	-0.139537946	-0.025627983	-0.285860515	-0.069813779	0.038298115	-0.034287305	-0.147681797	-0.163362394	0.083198685	-0.05871379	-0.238492653	0.30197237	-0.097680743	-0.086211447	0.403748459	0.154879302	0.068817625	0.017214026	-0.112294589	-0.068721115	-0.093759499	-0.100939313	0.124286434	0.059332376	-0.159730938	-0.391299038
-0.017345901	0.100135346	-0.233624172	0.155916896	-0.20280198	-0.100656601	-0.026077914	0.082967998	-0.090614728	0.014341482	0.077758086	0.095337484	-0.050134496	-0.213564731	-0.015686232	-0.002285771	-0.077330706	0.101147436	0.025585195	0.018317553	0.199422426	0.036116848	0.021931363	0.143875726	0.000616894	-0.019318339	-0.032503788	-0.165669282	0.033975758	-0.117348255	-0.118135662	-0.264829343
-0.044109484	0.143795269	-0.315396517	0.135291011	-0.108804179	-0.166506344	0.006756759	0.032881771	-0.150414714	-0.080444289	0.04775104	0.093572333	-0.084709546	-0.166970431	0.116936644	-0.054094921	-0.127688094	0.150740909	0.048615541	-0.090439145	0.320163323	-0.003478669	0.028807682	0.10847992	-0.077707799	-0.045477042	-0.055414939	-0.082733971	0.07764611	-0.004788559	-0.177894239	-0.313067151
-0.095865365	0.101032444	-0.28164512	-0.031762764	-0.0091336	0.066267451	-0.316399151	0.180090013	0.01323191	0.211415123	0.220875843	0.093031677	-0.040383864	-0.063450404	0.204378112	0.061760892	0.059892547	0.126214866	-0.14885738	0.257439297	0.219404544	-0.34514977	0.053228252	0.29235332	0.138467405	-0.031199428	0.047537578	0.093147706	0.039820505	0.069818209	-0.28168194	-0.197671276
-0.044977891	0.257991928	-0.2589271	0.207006636	-0.169265331	-0.381179886	-0.286734452	0.006829722	-0.322551345	0.1007737	-0.173485898	-0.09399587	-0.146702105	-0.189887885	0.00666767	0.033897069	-0.27619738	0.25228479	-0.218933034	0.100903376	0.25062473	0.012761225	0.073354365	0.034467851	0.010742248	-0.038867083	-0.099426928	0.321409429	0.022131387	-0.071576578	-0.122801515	-0.284875959
-0.051426953	-0.07130105	-0.383465928	0.101540264	-0.032470006	0.057611966	-0.004968371	-0.017071534	0.017965294	-0.182026861	0.322323619	0.033735961	-0.056416821	-0.113180971	0.117218092	-0.143568489	0.036058666	-0.059333156	0.017305189	-0.181240731	0.448864594	0.047498407	-0.046021931	0.024864614	-0.149866711	-0.100338701	-0.006226225	0.179711423	0.123903055	0.111107492	-0.118932238	-0.372328308
-0.058891878	0.439679084	-0.319241074	0.052687484	-0.138006144	-0.718402905	-0.144784182	-0.008552897	-0.573984097	-0.032904766	-0.012327167	-0.03622386	-0.226370208	-0.186383967	0.173245284	-0.019387094	-0.506616787	0.446919779	-0.102465572	-0.06082475	0.255649906	-0.0559624	0.123005067	0.021262029	-0.093907698	-0.055697552	-0.178541849	-0.373802197	0.055356	-0.034551406	-0.112446654	-0.313976515
-0.030059879	0.127036919	-0.193547138	-0.061162981	-0.074569552	-0.008907448	-0.231270987	0.099482458	-0.040148784	0.054570164	0.289785355	0.032665757	-0.0586105	-0.10326893	-0.207902181	-0.011609155	0.003667942	0.145288184	-0.126018961	0.071742891	0.206643718	0.065616238	0.055451821	0.166832015	-0.005081011	-0.049699981	0.022019864	-0.030452651	0.056072199	-0.001718754	-0.176285124	-0.192385491
-0.050273912	0.252157403	-0.370260239	0.003431312	-0.083978995	-0.26641464	-0.064114384	-0.042650704	-0.228877084	-0.078634434	0.285031322	-0.006792261	-0.105832052	-0.160645739	0.264428037	-0.044042956	-0.194244187	0.262808908	-0.038312901	-0.102685093	0.351560505	-0.008145586	0.072701912	0.007810944	-0.105924879	-0.03908777	-0.067493942	0.116784554	0.107812452	0.037390277	-0.174177253	-0.355750051
-0.10190605	0.355102656	-0.589931945	0.074181903	-0.137731175	-0.481651566	-0.107572792	-0.028263442	-0.395573821	0.026054782	0.215422669	-0.025462469	-0.161807352	-0.261978022	0.129032304	0.008544209	-0.352949361	0.368386519	-0.074828169	0.016726884	0.459448857	-0.104483326	0.0883077	0.014854207	-0.017784616	-0.033786244	-0.135423675	-0.50663195	0.12756853	0.036491753	-0.161869428	-0.546958438
-0.036661467	0.281664349	-0.354516827	0.156707228	-0.117243906	-0.403359267	-0.032153755	-0.02884089	-0.322784623	-0.017509571	-0.001617007	0.018961373	-0.12239229	-0.177460031	0.129572168	0.0010692	-0.296177302	0.280497357	-0.008266633	-0.038120559	0.371566194	0.047719129	0.074991626	0.028762948	-0.044232115	-0.016460848	-0.110667998	-0.344465002	0.100267083	0.014201735	-0.184167588	-0.359150484
-0.051137938	0.119076356	-0.372601968	0.023211469	-0.07249119	-0.16029618	-0.068793668	-0.059690182	-0.161508271	-0.085142263	0.08952349	-0.076741765	-0.121426424	-0.150585764	0.188454784	-0.087119248	-0.130098946	0.135244411	-0.07242544	-0.081106516	0.375177168	-0.066484346	0.000135994	-0.078730087	-0.083745395	-0.090464859	-0.073992402	-0.2982867	0.115687473	0.04717233	-0.018340364	-0.34181707
-0.078109394	0.301538091	-0.410387979	0.131439807	-0.002610927	-0.247286632	-0.083556881	-0.151515968	-0.250965355	-0.298054198	0.049051175	-0.122263231	-0.172250798	-0.104828856	0.333280531	-0.195044377	-0.180017027	0.344613997	-0.095711217	-0.339376166	0.463647869	0.070172843	0.076092344	-0.158831893	-0.29794488	-0.134149845	-0.068134909	-0.37581557	0.124521511	0.146252663	-0.080089176	-0.381818022
-0.026707474	0.187530519	-0.201621741	0.04951537	-0.118953033	-0.127684963	-0.148903297	0.078705555	-0.122953486	0.043547262	0.051752365	0.030877979	-0.0703458	-0.148863409	0.124902788	0.004195981	-0.089148453	0.198951854	-0.078663855	0.048442828	0.176261066	-0.069839215	0.063403439	0.125803965	-0.006051224	-0.028504974	-0.021076551	-0.168079782	0.048487003	-0.06083124	-0.110723339	-0.18789862
-0.02586802	0.072196012	-0.185580006	0.13886109	-0.105773698	-0.089121684	-0.020936531	0.048395892	-0.090337376	0.035106618	0.0555913	0.059272291	-0.064513887	-0.113129663	0.023689137	-0.004201319	-0.078771774	0.081792709	0.012714731	0.052145717	0.172626795	-0.112488523	-0.00689944	0.094592529	0.035196694	-0.033921306	-0.050948406	-0.162900187	0.024151775	-0.039283723	-0.099595603	-0.178204673
-0.057285703	0.214133434	-0.473252881	0.138537636	-0.1014919	-0.131287678	-0.109215637	-0.043007863	-0.135602146	-0.005336994	0.105981154	-0.051009065	-0.088564335	-0.189426211	0.110958022	-0.030430319	-0.098167246	0.244160969	-0.087507331	9.34762E-05	0.464312307	-0.006064764	0.054094836	-0.018247461	-0.031042814	-0.049201664	-0.036766651	-0.159548379	0.131231786	0.062718652	-0.125443876	-0.466095498
