	WT	genotype	repID	centsize	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	x19	y19	x20	y20	x21	y21	x22	y22	x23	y23	x24	y24	x25	y25	x26	y26	x27	y27	x28	y28	x29	y29	x30	y30	x31	y31	x32	y32	x33	y33	x34	y34	x35	y35	x36	y36	x37	y37	x38	y38	x39	y39	x40	y40	x41	y41	x42	y42	x43	y43	x44	y44	x45	y45	x46	y46	x47	y47	x48	y48
MA_010_rep1_00001	MA	MA10	rep1	493.4949733	0.04973827	-0.116559256	0.215802519	-0.031495312	0.231100658	0.021437368	0.16102489	0.091450642	-0.122315208	0.061811429	-0.190606883	0.051861563	-0.003438455	-0.062365955	-0.000710244	-0.018002038	-0.090670539	0.000240279	-0.087949458	0.018368273	-0.146555471	0.02132318	-0.167047855	-0.015723468	-0.196221856	-0.023990024	-0.179709251	-0.071584856	-0.145318487	-0.107958337	-0.09786649	-0.127418048	-0.04725793	-0.130721945	0.001639414	-0.12575673	0.093839865	-0.105533317	0.141418416	-0.088155952	0.18392285	-0.063140501	0.229805343	-0.004713605	0.215418792	0.052361475	0.187122287	0.077597622	0.102623669	0.104916223	0.055293053	0.105790529	0.005264277	0.100584333	-0.056923637	0.08926611	-0.152025447	0.037291803	-0.192423288	0.027324496	0.022537945	-0.079781332	-0.055678119	-0.041607237	-0.105687308	-0.026685057	0.147968023	-0.024564746	0.073098504	-0.018108781	-0.045303263	-0.010168246	-0.140030303	0.001892836	0.174402847	0.029038443	0.116467904	0.032199874	0.051012099	0.0325419	-0.019412765	0.029046663	-0.114966815	0.019761349	0.097089907	0.079571905	0.043984306	0.071913815	-0.016049912	0.061811064	-0.074448907	0.047207275	-0.153689868	0.066306857	0.001731918	-0.038882562
MA_010_rep1_00002	MA	MA10	rep1	500.9721937	0.048406562	-0.116061813	0.216849937	-0.03180094	0.23348096	0.021712705	0.154163479	0.092805852	-0.124835091	0.059517595	-0.191457569	0.051067499	-0.003039277	-0.061216292	0.001253563	-0.01830874	-0.088832184	0.000165819	-0.085482415	0.018231012	-0.146832699	0.02227227	-0.168358511	-0.013973378	-0.195517299	-0.023773294	-0.180211524	-0.071900892	-0.145061902	-0.107490103	-0.098017272	-0.127616393	-0.047356652	-0.130340532	0.001416279	-0.124917183	0.09370929	-0.10526873	0.141553741	-0.088506923	0.18440142	-0.06379103	0.231395972	-0.005078431	0.216662022	0.053404469	0.186940296	0.077439215	0.102299909	0.103726606	0.055191438	0.105025677	0.005144986	0.100422868	-0.057255469	0.089588165	-0.152309684	0.037417407	-0.19274382	0.027355946	0.022905909	-0.079353738	-0.0555104	-0.040820388	-0.105821533	-0.02658929	0.147908703	-0.024382596	0.072973	-0.018662643	-0.045369638	-0.009798604	-0.13922236	0.003180022	0.174281654	0.028693663	0.116342058	0.031713916	0.05088756	0.032232611	-0.019573593	0.029063365	-0.115125089	0.019774791	0.097215619	0.078260591	0.044072304	0.0704236	-0.016004782	0.060886675	-0.074492822	0.046849861	-0.154052655	0.067728335	0.003027581	-0.039308601
MA_010_rep1_00003	MA	MA10	rep1	516.0014544	0.049295985	-0.115060566	0.217780119	-0.031199179	0.234641898	0.021479622	0.155107064	0.092331016	-0.128430993	0.057060173	-0.192592136	0.052245371	-0.003229511	-0.061207498	0.002058226	-0.018535959	-0.091243858	0.001483584	-0.087937229	0.018036534	-0.146097739	0.021067733	-0.169069305	-0.013296285	-0.195195498	-0.023975442	-0.178841938	-0.071040964	-0.144153745	-0.106127774	-0.097609582	-0.125847047	-0.047381769	-0.129039397	0.001316777	-0.124016705	0.09353886	-0.10444969	0.141354977	-0.087830035	0.184332032	-0.063512683	0.232204291	-0.005253783	0.217396946	0.053938181	0.187317839	0.077873996	0.102225036	0.102434334	0.055324703	0.103062928	0.00550579	0.098153313	-0.056593556	0.087615781	-0.152968504	0.03885352	-0.193440687	0.027402643	0.02320919	-0.079133139	-0.05558542	-0.041079945	-0.105917251	-0.026864972	0.148046359	-0.02410612	0.073066877	-0.018282386	-0.04537055	-0.009852869	-0.139576567	0.003660116	0.174383015	0.028476936	0.116430763	0.031605207	0.05094776	0.032347403	-0.019523926	0.028876761	-0.11519089	0.019322522	0.097567698	0.07697769	0.044197698	0.070056688	-0.016038128	0.061296937	-0.074522416	0.046874856	-0.153817436	0.066673647	0.003078729	-0.039495052
MA_010_rep1_00004	MA	MA10	rep1	506.8845541	0.045861785	-0.116258944	0.218303235	-0.029108953	0.234334811	0.022827668	0.155337261	0.092415191	-0.125099114	0.059142803	-0.19013769	0.052868141	-0.001347787	-0.064117412	0.000964107	-0.018656757	-0.089730934	0.000119751	-0.087972451	0.017712845	-0.145501996	0.021102767	-0.173594759	-0.012807239	-0.195771456	-0.024738133	-0.178849266	-0.07097897	-0.144653711	-0.106788023	-0.097656274	-0.125935302	-0.047408771	-0.129072982	0.001342695	-0.124343218	0.093608174	-0.104810788	0.141270643	-0.087796947	0.183873662	-0.063028447	0.231622478	-0.005142233	0.217629057	0.05407727	0.187443073	0.078018137	0.10226237	0.102553049	0.055347628	0.103094914	0.005545772	0.098049401	-0.056473018	0.087366752	-0.153037067	0.039060205	-0.191925994	0.028234229	0.021693273	-0.080477775	-0.055893588	-0.041798501	-0.105876971	-0.026656361	0.148150822	-0.022928077	0.073076007	-0.018354492	-0.04543404	-0.010148221	-0.138998335	0.003135681	0.17449771	0.029816996	0.116451088	0.032063336	0.050972646	0.031568146	-0.019454657	0.028322862	-0.115189606	0.019048285	0.09746623	0.077568252	0.044242808	0.069859944	-0.015839772	0.06036135	-0.074327401	0.046369695	-0.153978257	0.068091299	0.002855579	-0.038901192
MA_010_rep1_00005	MA	MA10	rep1	505.5389031	0.053760181	-0.115294236	0.216217272	-0.030994572	0.232063192	0.021581371	0.157207953	0.091241926	-0.124997325	0.061025277	-0.193426582	0.054008019	-0.000488884	-0.062448056	-0.001264071	-0.017545722	-0.090592288	0.00010345	-0.087698188	0.01787173	-0.147457355	0.022743736	-0.165526177	-0.014638369	-0.19524604	-0.024000847	-0.179702011	-0.071814534	-0.145055066	-0.107794526	-0.097937614	-0.1279269	-0.047210619	-0.131157606	0.001677495	-0.125825037	0.093674919	-0.104952314	0.141287267	-0.087767997	0.183932784	-0.063065679	0.230154042	-0.004662078	0.215866286	0.052826724	0.186609081	0.077023414	0.102205879	0.103046354	0.055210511	0.104236259	0.005252143	0.099676993	-0.05705968	0.089130733	-0.152964672	0.038768559	-0.19404065	0.027681695	0.024372166	-0.078001177	-0.055635752	-0.041566284	-0.10585716	-0.027202599	0.147950236	-0.024333968	0.073047589	-0.017993238	-0.045362168	-0.010231754	-0.140421804	0.003498687	0.174291967	0.028794829	0.116362104	0.031756401	0.050924864	0.031916403	-0.019459909	0.02838018	-0.11501152	0.019790622	0.097475502	0.076802356	0.044205069	0.069579228	-0.01594814	0.060775644	-0.074471665	0.046910704	-0.153994394	0.068500669	0.003081234	-0.038454469
MA_010_rep1_00006	MA	MA10	rep1	499.8845294	0.050929998	-0.114474153	0.218016974	-0.033192894	0.234811329	0.021829677	0.153489364	0.092932397	-0.124807967	0.058942594	-0.191822768	0.050438003	-0.003955695	-0.059677201	0.000240595	-0.017304315	-0.090900364	0.00061596	-0.089237176	0.018335217	-0.146267467	0.021453035	-0.170671177	-0.01291301	-0.197208995	-0.023610555	-0.178853575	-0.071104127	-0.144577922	-0.106869758	-0.097438141	-0.125424899	-0.047338138	-0.128339558	0.001305137	-0.12353793	0.093608827	-0.104466745	0.141695069	-0.088417434	0.185202908	-0.064590636	0.233000578	-0.005438907	0.217385338	0.054042747	0.187363634	0.078088296	0.102162672	0.102251072	0.055307886	0.102683081	0.005540847	0.097721576	-0.056403322	0.086975546	-0.152136768	0.03702205	-0.193590811	0.026131587	0.02403733	-0.078292039	-0.055164023	-0.039902824	-0.105605039	-0.025774688	0.147953823	-0.024512205	0.07306317	-0.017881804	-0.045263138	-0.009404762	-0.140282535	0.003820279	0.174347694	0.028461341	0.116398159	0.03129033	0.050945104	0.031909215	-0.019522335	0.028934086	-0.11514268	0.019712219	0.097404702	0.077716069	0.044181175	0.070024269	-0.0159266	0.060670385	-0.074437771	0.046673763	-0.153806846	0.065622426	0.001968938	-0.039166777
MA_010_rep1_00007	MA	MA10	rep1	499.1072201	0.049499686	-0.116069229	0.216243811	-0.032628999	0.233361232	0.023127708	0.154425746	0.092747077	-0.123746187	0.061346553	-0.193343496	0.051271974	-0.002870075	-0.062097606	0.002479414	-0.018412085	-0.089766723	0.0006364	-0.08744514	0.018639255	-0.147424674	0.021110029	-0.167094332	-0.014168624	-0.195001025	-0.02179488	-0.179276206	-0.071386437	-0.144816686	-0.107189958	-0.097903058	-0.127229343	-0.047338533	-0.130485413	0.001495657	-0.125323837	0.093658879	-0.105122037	0.141451835	-0.088292085	0.184343067	-0.063720886	0.231399678	-0.005130681	0.216941647	0.0535703	0.187172189	0.077734389	0.102241117	0.103064905	0.055247168	0.103888507	0.005359374	0.099022279	-0.0567662	0.088274898	-0.152352728	0.037555334	-0.193880903	0.027583414	0.023301551	-0.079025454	-0.055649399	-0.0413055	-0.10574998	-0.026441414	0.147882762	-0.024656561	0.072993892	-0.018579464	-0.045398637	-0.010124546	-0.139690376	0.003408397	0.174329628	0.029039923	0.116361287	0.031732776	0.050907901	0.032383239	-0.019550736	0.029141018	-0.115136955	0.01936911	0.097235354	0.078199753	0.044043557	0.07077744	-0.01610929	0.061528571	-0.074588293	0.047143425	-0.153872672	0.066319394	0.002395871	-0.03943103
MA_010_rep1_00009	MA	MA10	rep1	484.6455203	0.044278324	-0.115171646	0.216580949	-0.03581367	0.237463028	0.016400639	0.150683289	0.095507564	-0.121060523	0.063806851	-0.190017941	0.051234838	-0.0065873	-0.062455372	-0.004648554	-0.017741587	-0.089676772	-0.000535358	-0.087352899	0.01817442	-0.14533282	0.018563578	-0.166771387	-0.01575092	-0.19530153	-0.030009353	-0.176788221	-0.070026873	-0.143974583	-0.106585942	-0.097063607	-0.125503208	-0.046990866	-0.127490294	0.001554184	-0.122541259	0.093889426	-0.104094902	0.141792285	-0.087787949	0.185112637	-0.06380566	0.235089756	-0.005846406	0.217409609	0.05424138	0.187471938	0.078304817	0.102666739	0.105698737	0.055272322	0.107072106	0.005047532	0.102112542	-0.057346831	0.090609276	-0.152056952	0.037171918	-0.191659695	0.025990416	0.020841969	-0.081603908	-0.055674563	-0.042124216	-0.105634721	-0.027159953	0.147960537	-0.025834155	0.073248468	-0.018603062	-0.045272266	-0.010738446	-0.139444006	0.000674518	0.174319081	0.027588889	0.116588701	0.032089465	0.051119232	0.033404781	-0.019422556	0.029951216	-0.114967351	0.018291027	0.097285846	0.079081497	0.044004731	0.072556446	-0.016343708	0.063405609	-0.074580667	0.047371173	-0.153850185	0.066476526	-0.001860078	-0.038556091
MA_010_rep2_00001	MA	MA10	rep2	488.0935376	0.050760316	-0.114846788	0.21817094	-0.030373977	0.233887164	0.020054733	0.15349306	0.092756284	-0.112695632	0.066575193	-0.192757013	0.051821458	-0.004877006	-0.059875099	0.003388596	-0.019295052	-0.094294972	-0.001154749	-0.092499902	0.01874751	-0.148321537	0.021476893	-0.169531264	-0.014454791	-0.197215072	-0.02593777	-0.179562715	-0.071524818	-0.144988688	-0.107482258	-0.097348841	-0.124948236	-0.047396513	-0.127159573	0.001191014	-0.122901294	0.093845305	-0.105652754	0.14202966	-0.089553747	0.184961889	-0.064565121	0.231358743	-0.005017265	0.21701761	0.05387169	0.187054777	0.077803229	0.102088596	0.102604507	0.055191775	0.103350424	0.005366778	0.098545796	-0.05657232	0.087609718	-0.151277593	0.035327644	-0.194123919	0.027979642	0.023804803	-0.078384965	-0.055340687	-0.040342536	-0.105695527	-0.026251767	0.147865685	-0.024444826	0.072911301	-0.019628316	-0.045413843	-0.010062379	-0.141614876	0.001485656	0.174208994	0.029033964	0.116287411	0.032130054	0.050853291	0.03203142	-0.019558415	0.028934911	-0.115105725	0.019997238	0.09688702	0.079584308	0.043853933	0.071438428	-0.016002844	0.060611805	-0.074092523	0.045533998	-0.153669005	0.064705382	0.003477771	-0.0401538
MA_010_rep2_00002	MA	MA10	rep2	481.7119745	0.050530085	-0.118275676	0.217749744	-0.030862376	0.231983547	0.025107344	0.143837127	0.095756554	-0.113884813	0.068588217	-0.193402648	0.0531176	-0.003190016	-0.063093407	0.002806166	-0.019985872	-0.091487842	0.000427217	-0.08954302	0.018186411	-0.143049607	0.022289474	-0.168980569	-0.012916992	-0.193846842	-0.025292084	-0.180167149	-0.072107401	-0.14483615	-0.107535017	-0.097853916	-0.127554366	-0.047259765	-0.131390908	0.001739778	-0.126875943	0.094497249	-0.108146854	0.142609114	-0.091074475	0.185338198	-0.065307108	0.230532654	-0.005108763	0.216629039	0.053454965	0.187003547	0.077715914	0.102074373	0.102949616	0.055140485	0.103793427	0.005275275	0.099189514	-0.056834299	0.088778283	-0.153242707	0.039439962	-0.193541874	0.028548946	0.021935075	-0.080325776	-0.055622362	-0.041432119	-0.10559162	-0.026376696	0.147702862	-0.025443363	0.07284868	-0.020347372	-0.045321178	-0.010081971	-0.139348558	0.002979872	0.174171789	0.030112388	0.116210874	0.031956395	0.05083496	0.031920105	-0.019529254	0.02890335	-0.114926048	0.019760274	0.096726574	0.079709148	0.043783318	0.071636062	-0.016160493	0.061444854	-0.074477072	0.046843102	-0.153948428	0.066747655	0.004085716	-0.039822111
